t,E,p1,p2,p3,L1,L2,L3
58799.2,-3.78974e+28,-1.40973e+07,7.50966e+25,0,0,0,2.88371e+34
59604.7,-3.78974e+28,-9.47205e+06,7.50966e+25,0,0,0,2.88371e+34
60410.1,-3.78974e+28,-1.2442e+07,7.50966e+25,0,0,0,2.88371e+34
61215.6,-3.78974e+28,-1.17512e+07,7.50966e+25,0,0,0,2.88371e+34
62021.1,-3.78974e+28,-1.73998e+07,7.50966e+25,0,0,0,2.88371e+34
62826.6,-3.78974e+28,-1.81321e+07,7.50966e+25,0,0,0,2.88371e+34
63632,-3.78974e+28,-1.26953e+07,7.50966e+25,0,0,0,2.88371e+34
64437.5,-3.78974e+28,-1.35906e+07,7.50966e+25,0,0,0,2.88371e+34
65243,-3.78974e+28,-1.95652e+07,7.50966e+25,0,0,0,2.88371e+34
66048.4,-3.78974e+28,-2.31151e+07,7.50966e+25,0,0,0,2.88371e+34
66853.9,-3.78974e+28,-2.4238e+07,7.50966e+25,0,0,0,2.88371e+34
67659.4,-3.78974e+28,-2.04313e+07,7.50966e+25,0,0,0,2.88371e+34
68464.8,-3.78974e+28,-2.16959e+07,7.50966e+25,0,0,0,2.88371e+34
69270.3,-3.78974e+28,-3.42815e+07,7.50966e+25,0,0,0,2.88371e+34
70075.8,-3.78974e+28,-3.56803e+07,7.50966e+25,0,0,0,2.88371e+34
70881.2,-3.78974e+28,-3.33926e+07,7.50966e+25,0,0,0,2.88371e+34
71686.7,-3.78974e+28,-3.49187e+07,7.50966e+25,0,0,0,2.88371e+34
72492.2,-3.78974e+28,-3.27551e+07,7.50966e+25,0,0,0,2.88371e+34
73297.6,-3.78974e+28,-2.94008e+07,7.50966e+25,0,0,0,2.88371e+34
74103.1,-3.78974e+28,-2.86055e+07,7.50966e+25,0,0,0,2.88371e+34
74908.6,-3.78974e+28,-3.16181e+07,7.50966e+25,0,0,0,2.88371e+34
75714.1,-3.78974e+28,-3.21854e+07,7.50966e+25,0,0,0,2.88371e+34
76519.5,-3.78974e+28,-2.28041e+07,7.50966e+25,0,0,0,2.88371e+34
77325,-3.78974e+28,-2.5979e+07,7.50966e+25,0,0,0,2.88371e+34
78130.5,-3.78974e+28,-2.79552e+07,7.50966e+25,0,0,0,2.88371e+34
78935.9,-3.78974e+28,-2.74811e+07,7.50966e+25,0,0,0,2.88371e+34
79741.4,-3.78974e+28,-1.58031e+07,7.50966e+25,0,0,0,2.88371e+34
80546.9,-3.78974e+28,-6.6739e+06,7.50966e+25,0,0,0,2.88371e+34
81352.3,-3.78974e+28,-92430.7,7.50966e+25,0,0,0,2.88371e+34
82157.8,-3.78974e+28,-2.30933e+06,7.50966e+25,0,0,0,2.88371e+34
82963.3,-3.78974e+28,-2.0705e+06,7.50966e+25,0,0,0,2.88371e+34
83768.7,-3.78974e+28,-6.87701e+06,7.50966e+25,0,0,0,2.88371e+34
84574.2,-3.78974e+28,-6.72516e+06,7.50966e+25,0,0,0,2.88371e+34
85379.7,-3.78974e+28,-1.16168e+07,7.50966e+25,0,0,0,2.88371e+34
86185.1,-3.78974e+28,-1.40489e+07,7.50966e+25,0,0,0,2.88371e+34
86990.6,-3.78974e+28,-1.27703e+07,7.50966e+25,0,0,0,2.88371e+34
87796.1,-3.78974e+28,-1.02809e+07,7.50966e+25,0,0,0,2.88371e+34
88601.6,-3.78974e+28,-1.03308e+07,7.50966e+25,0,0,0,2.88371e+34
89407,-3.78974e+28,-1.04185e+07,7.50966e+25,0,0,0,2.88371e+34
90212.5,-3.78974e+28,-4.29168e+06,7.50966e+25,0,0,0,2.88371e+34
91018,-3.78974e+28,-5.70323e+06,7.50966e+25,0,0,0,2.88371e+34
91823.4,-3.78974e+28,-898700,7.50966e+25,0,0,0,2.88371e+34
92628.9,-3.78974e+28,-7.38217e+06,7.50966e+25,0,0,0,2.88371e+34
93434.4,-3.78974e+28,-1.51502e+07,7.50966e+25,0,0,0,2.88371e+34
94239.8,-3.78974e+28,-1.41994e+07,7.50966e+25,0,0,0,2.88371e+34
