t,E,p1,p2,p3,L1,L2,L3
596047,-2.6513e+33,9.35052e+08,1.77846e+29,0,0,0,2.66058e+40
604101,-2.6513e+33,3.48212e+09,1.77846e+29,0,0,0,2.66058e+40
612156,-2.6513e+33,6.02931e+09,1.77846e+29,0,0,0,2.66058e+40
620211,-2.6513e+33,8.57664e+09,1.77846e+29,0,0,0,2.66058e+40
628266,-2.6513e+33,9.84376e+09,1.77846e+29,0,0,0,2.66058e+40
636320,-2.6513e+33,9.83069e+09,1.77846e+29,0,0,0,2.66058e+40
644375,-2.6513e+33,2.13568e+09,1.77846e+29,0,0,0,2.66058e+40
652430,-2.6513e+33,1.10854e+10,1.77846e+29,0,0,0,2.66058e+40
660484,-2.6513e+33,1.61943e+10,1.77846e+29,0,0,0,2.66058e+40
668539,-2.6513e+33,2.13034e+10,1.77846e+29,0,0,0,2.66058e+40
676594,-2.6513e+33,2.3852e+10,1.77846e+29,0,0,0,2.66058e+40
684648,-2.6513e+33,1.35974e+10,1.77846e+29,0,0,0,2.66058e+40
692703,-2.6513e+33,3.343e+09,1.77846e+29,0,0,0,2.66058e+40
700758,-2.6513e+33,1.61352e+10,1.77846e+29,0,0,0,2.66058e+40
708812,-2.6513e+33,3.40492e+10,1.77846e+29,0,0,0,2.66058e+40
716867,-2.6513e+33,2.89172e+10,1.77846e+29,0,0,0,2.66058e+40
724922,-2.6513e+33,3.91497e+10,1.77846e+29,0,0,0,2.66058e+40
732976,-2.6513e+33,4.42613e+10,1.77846e+29,0,0,0,2.66058e+40
741031,-2.6513e+33,5.1934e+10,1.77846e+29,0,0,0,2.66058e+40
749086,-2.6513e+33,5.1925e+10,1.77846e+29,0,0,0,2.66058e+40
757141,-2.6513e+33,4.67952e+10,1.77846e+29,0,0,0,2.66058e+40
765195,-2.6513e+33,5.70302e+10,1.77846e+29,0,0,0,2.66058e+40
773250,-2.6513e+33,5.19016e+10,1.77846e+29,0,0,0,2.66058e+40
781305,-2.6513e+33,5.1895e+10,1.77846e+29,0,0,0,2.66058e+40
789359,-2.6513e+33,4.67679e+10,1.77846e+29,0,0,0,2.66058e+40
797414,-2.6513e+33,4.16416e+10,1.77846e+29,0,0,0,2.66058e+40
805469,-2.6513e+33,6.21233e+10,1.77846e+29,0,0,0,2.66058e+40
813523,-2.6513e+33,7.4924e+10,1.77846e+29,0,0,0,2.66058e+40
821578,-2.6513e+33,6.72402e+10,1.77846e+29,0,0,0,2.66058e+40
829633,-2.6513e+33,6.46793e+10,1.77846e+29,0,0,0,2.66058e+40
837687,-2.6513e+33,6.212e+10,1.77846e+29,0,0,0,2.66058e+40
845742,-2.6513e+33,7.2366e+10,1.77846e+29,0,0,0,2.66058e+40
853797,-2.6513e+33,8.26142e+10,1.77846e+29,0,0,0,2.66058e+40
861851,-2.6513e+33,6.21365e+10,1.77846e+29,0,0,0,2.66058e+40
869906,-2.6513e+33,7.75117e+10,1.77846e+29,0,0,0,2.66058e+40
877961,-2.6513e+33,8.00871e+10,1.77846e+29,0,0,0,2.66058e+40
886016,-2.6513e+33,9.29099e+10,1.77846e+29,0,0,0,2.66058e+40
894070,-2.6513e+33,9.03743e+10,1.77846e+29,0,0,0,2.66058e+40
902125,-2.6513e+33,9.55285e+10,1.77846e+29,0,0,0,2.66058e+40
910180,-2.6513e+33,1.00693e+11,1.77846e+29,0,0,0,2.66058e+40
918234,-2.6513e+33,1.03311e+11,1.77846e+29,0,0,0,2.66058e+40
926289,-2.6513e+33,1.16194e+11,1.77846e+29,0,0,0,2.66058e+40
934344,-2.6513e+33,1.08628e+11,1.77846e+29,0,0,0,2.66058e+40
942398,-2.6513e+33,1.21618e+11,1.77846e+29,0,0,0,2.66058e+40
950453,-2.6513e+33,8.86911e+10,1.77846e+29,0,0,0,2.66058e+40
958508,-2.6513e+33,8.16535e+10,1.77846e+29,0,0,0,2.66058e+40
966562,-2.6513e+33,7.45074e+10,1.77846e+29,0,0,0,2.66058e+40
974617,-2.6513e+33,6.72751e+10,1.77846e+29,0,0,0,2.66058e+40
982672,-2.6513e+33,6.23665e+10,1.77846e+29,0,0,0,2.66058e+40
990726,-2.6513e+33,5.99344e+10,1.77846e+29,0,0,0,2.66058e+40
998781,-2.6513e+33,7.79461e+10,1.77846e+29,0,0,0,2.66058e+40
1.00684e+06,-2.6513e+33,7.80084e+10,1.77846e+29,0,0,0,2.66058e+40
1.01489e+06,-2.6513e+33,8.06154e+10,1.77846e+29,0,0,0,2.66058e+40
1.02295e+06,-2.6513e+33,6.27256e+10,1.77846e+29,0,0,0,2.66058e+40
1.031e+06,-2.6513e+33,6.27526e+10,1.77846e+29,0,0,0,2.66058e+40
1.03905e+06,-2.6513e+33,5.7652e+10,1.77846e+29,0,0,0,2.66058e+40
1.04711e+06,-2.6513e+33,3.97431e+10,1.77846e+29,0,0,0,2.66058e+40
1.05516e+06,-2.6513e+33,3.71944e+10,1.77846e+29,0,0,0,2.66058e+40
1.06322e+06,-2.6513e+33,3.46426e+10,1.77846e+29,0,0,0,2.66058e+40
1.07127e+06,-2.6513e+33,3.72095e+10,1.77846e+29,0,0,0,2.66058e+40
1.07933e+06,-2.6513e+33,4.23348e+10,1.77846e+29,0,0,0,2.66058e+40
1.08738e+06,-2.6513e+33,3.20941e+10,1.77846e+29,0,0,0,2.66058e+40
1.09544e+06,-2.6513e+33,3.20945e+10,1.77846e+29,0,0,0,2.66058e+40
1.10349e+06,-2.6513e+33,2.18507e+10,1.77846e+29,0,0,0,2.66058e+40
1.11155e+06,-2.6513e+33,3.72126e+10,1.77846e+29,0,0,0,2.66058e+40
1.1196e+06,-2.6513e+33,1.92844e+10,1.77846e+29,0,0,0,2.66058e+40
1.12766e+06,-2.6513e+33,1.67194e+10,1.77846e+29,0,0,0,2.66058e+40
1.13571e+06,-2.6513e+33,-6.33216e+09,1.77846e+29,0,0,0,2.66058e+40
1.14377e+06,-2.6513e+33,-4.47487e+10,1.77846e+29,0,0,0,2.66058e+40
1.15182e+06,-2.6513e+33,-3.96339e+10,1.77846e+29,0,0,0,2.66058e+40
1.15987e+06,-2.6513e+33,-1.91556e+10,1.77846e+29,0,0,0,2.66058e+40
1.16793e+06,-2.6513e+33,-8.92069e+09,1.77846e+29,0,0,0,2.66058e+40
1.17598e+06,-2.6513e+33,-2.94147e+10,1.77846e+29,0,0,0,2.66058e+40
1.18404e+06,-2.6513e+33,-8.93795e+09,1.77846e+29,0,0,0,2.66058e+40
1.19209e+06,-2.6513e+33,-8.94725e+09,1.77846e+29,0,0,0,2.66058e+40
1.20015e+06,-2.6513e+33,-1.66391e+10,1.77846e+29,0,0,0,2.66058e+40
1.2082e+06,-2.6513e+33,-3.8456e+09,1.77846e+29,0,0,0,2.66058e+40
1.21626e+06,-2.6513e+33,8.94751e+09,1.77846e+29,0,0,0,2.66058e+40
1.22431e+06,-2.6513e+33,1.14975e+10,1.77846e+29,0,0,0,2.66058e+40
1.23237e+06,-2.6513e+33,2.68508e+10,1.77846e+29,0,0,0,2.66058e+40
1.24042e+06,-2.6513e+33,1.4036e+10,1.77846e+29,0,0,0,2.66058e+40
1.24848e+06,-2.6513e+33,1.40245e+10,1.77846e+29,0,0,0,2.66058e+40
1.25653e+06,-2.6513e+33,4.7302e+10,1.77846e+29,0,0,0,2.66058e+40
1.26459e+06,-2.6513e+33,4.21687e+10,1.77846e+29,0,0,0,2.66058e+40
1.27264e+06,-2.6513e+33,4.7278e+10,1.77846e+29,0,0,0,2.66058e+40
1.2807e+06,-2.6513e+33,5.23871e+10,1.77846e+29,0,0,0,2.66058e+40
1.28875e+06,-2.6513e+33,4.9814e+10,1.77846e+29,0,0,0,2.66058e+40
1.2968e+06,-2.6513e+33,5.23621e+10,1.77846e+29,0,0,0,2.66058e+40
1.30486e+06,-2.6513e+33,6.00316e+10,1.77846e+29,0,0,0,2.66058e+40
1.31291e+06,-2.6513e+33,6.00187e+10,1.77846e+29,0,0,0,2.66058e+40
1.32097e+06,-2.6513e+33,7.02486e+10,1.77846e+29,0,0,0,2.66058e+40
1.32902e+06,-2.6513e+33,8.04784e+10,1.77846e+29,0,0,0,2.66058e+40
1.33708e+06,-2.6513e+33,7.79046e+10,1.77846e+29,0,0,0,2.66058e+40
1.34513e+06,-2.6513e+33,6.50879e+10,1.77846e+29,0,0,0,2.66058e+40
1.35319e+06,-2.6513e+33,3.17855e+10,1.77846e+29,0,0,0,2.66058e+40
1.36124e+06,-2.6513e+33,-4.07769e+09,1.77846e+29,0,0,0,2.66058e+40
1.3693e+06,-2.6513e+33,-1.94553e+10,1.77846e+29,0,0,0,2.66058e+40
1.37735e+06,-2.6513e+33,-1.43473e+10,1.77846e+29,0,0,0,2.66058e+40
1.38541e+06,-2.6513e+33,-3.48464e+10,1.77846e+29,0,0,0,2.66058e+40
1.39346e+06,-2.6513e+33,-4.13154e+09,1.77846e+29,0,0,0,2.66058e+40
1.40152e+06,-2.6513e+33,-9.2665e+09,1.77846e+29,0,0,0,2.66058e+40
1.40957e+06,-2.6513e+33,-1.44015e+10,1.77846e+29,0,0,0,2.66058e+40
